-- seat id follows pattern: S_MonthDayYear_Time_Theatre_Movie_Seat#,,,,
('S_112622_9_001_001_01','S_A01','ST_001', true), 
('S_112622_9_001_001_02','S_A02','ST_001', false), 
('S_112622_9_001_001_03','S_A03','ST_001', false), 
('S_112622_9_001_001_04','S_A04','ST_001', false), 
('S_112622_9_001_001_05','S_A05','ST_001', false), 
('S_112622_9_001_001_06','S_A06','ST_001', true), 
('S_112622_9_001_001_07','S_A07','ST_001', true), 
('S_112622_9_001_001_08','S_A08','ST_001', false), 
('S_112622_9_001_001_09','S_A09','ST_001', false), 
('S_112622_9_001_001_10','S_A10','ST_001', false), 
('S_112622_9_001_001_11','S_B01','ST_001', false), 
('S_112622_9_001_001_12','S_B02','ST_001', false), 
('S_112622_9_001_001_13','S_B03','ST_001', false), 
('S_112622_9_001_001_14','S_B04','ST_001', false), 
('S_112622_9_001_001_15','S_C01','ST_001', false), 
('S_112622_9_001_001_16','S_C02','ST_001', false), 
('S_112622_9_001_001_17','S_C03','ST_001', false), 
('S_112622_9_001_001_18','S_C04','ST_001', false), 
('S_112622_9_001_001_19','S_D01','ST_001', false), 
('S_112622_9_001_001_20','S_D02','ST_001', true), 
('S_112622_9_001_001_21','S_D03','ST_001', false), 
('S_112622_9_001_001_22','S_D04','ST_001', false), 
('S_112622_9_001_001_23','S_D05','ST_001', false), 
('S_112622_9_001_001_24','S_D06','ST_001', false), 
('S_112622_9_001_001_25','S_D07','ST_001', false), 
('S_112622_9_001_001_26','S_D08','ST_001', false), 
('S_112622_9_001_001_27','S_D09','ST_001', false), 
('S_112622_9_001_001_28','S_D10','ST_001', false), 
-- Second showing,,,, 
('S_112622_11_002_002_1','S_A01','ST_002', false), 
('S_112622_11_002_002_2','S_A02','ST_002', false), 
('S_112622_11_002_002_3','S_A03','ST_002', false), 
('S_112622_11_002_002_4','S_A04','ST_002', false), 
('S_112622_11_002_002_5','S_A05','ST_002', true), 
('S_112622_11_002_002_6','S_A06','ST_002', false), 
('S_112622_11_002_002_7','S_A07','ST_002', false), 
('S_112622_11_002_002_8','S_A08','ST_002', false), 
('S_112622_11_002_002_9','S_A09','ST_002', false), 
('S_112622_11_002_002_10','S_A10','ST_002', false), 
('S_112622_11_002_002_11','S_B01','ST_002', true), 
('S_112622_11_002_002_12','S_B02','ST_002', true), 
('S_112622_11_002_002_13','S_B03','ST_002', true), 
('S_112622_11_002_002_14','S_B04','ST_002', true), 
('S_112622_11_002_002_15','S_C01','ST_002', false), 
('S_112622_11_002_002_16','S_C02','ST_002', false), 
('S_112622_11_002_002_17','S_C03','ST_002', false), 
('S_112622_11_002_002_18','S_C04','ST_002', false), 
